Row ID,Table Code,Table Name,Variable Code,Variable,Value,Variable Unit,Date
19000_2008Q3_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,09/30/2008
19000_2008Q4_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,12/31/2008
19000_2009Q1_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,03/31/2009
19000_2009Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,06/30/2009
19000_2009Q3_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,09/30/2009
19000_2009Q4_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,0,Dollars,12/31/2009
19000_2011Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,40510,Dollars,06/30/2011
19000_2013Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,43091,Dollars,06/30/2013
19000_2014Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,44255,Dollars,06/30/2014
19000_2015Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,45213,Dollars,06/30/2015
19000_2016Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,45517,Dollars,06/30/2016
19000_2017Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,46644,Dollars,06/30/2017
19000_1997Q1_SQINC1-1_quarter,SQINC1,Personal Income,SQINC1-1,Personal income,68865,Millions of dollars,03/31/1997
19000_2018Q4_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,49816,Dollars,12/31/2018
19000_2019Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,49129,Dollars,06/30/2019
19000_2020Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,54981,Dollars,06/30/2020
19000_2021Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,57884,Dollars,06/30/2021
19000_2022Q2_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,61034,Dollars,06/30/2022
19000_2023Q3_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,63021,Dollars,09/30/2023
19000_2023Q4_SQINC1-3_quarter,SQINC1,Personal Income,SQINC1-3,Per capita personal income,63219,Dollars,12/31/2023
19000_2001Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,82607,Millions of dollars,06/30/2001
19000_2002Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,84276,Millions of dollars,06/30/2002
19000_2003Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,85670,Millions of dollars,06/30/2003
19000_2004Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,92982,Millions of dollars,06/30/2004
19000_2005Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,95786,Millions of dollars,06/30/2005
19000_2006Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,101650,Millions of dollars,06/30/2006
19000_2008Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,118502,Millions of dollars,06/30/2008
19000_2009Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,112753,Millions of dollars,06/30/2009
19000_2010Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,116151,Millions of dollars,06/30/2010
19000_2011Q1_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,123794,Millions of dollars,03/31/2011
19000_2011Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,124265,Millions of dollars,06/30/2011
19000_2011Q4_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,127375,Millions of dollars,12/31/2011
19000_2012Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,131131,Millions of dollars,06/30/2012
19000_2012Q3_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,130332,Millions of dollars,09/30/2012
19000_2012Q4_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,133558,Millions of dollars,12/31/2012
19000_2013Q1_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,132788,Millions of dollars,03/31/2013
19000_2013Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,133565,Millions of dollars,06/30/2013
19000_2013Q4_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,133268,Millions of dollars,12/31/2013
19000_2014Q1_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,134654,Millions of dollars,03/31/2014
19000_2014Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,138034,Millions of dollars,06/30/2014
19000_2014Q4_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,139689,Millions of dollars,12/31/2014
19000_2015Q1_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,141488,Millions of dollars,03/31/2015
19000_2015Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,141704,Millions of dollars,06/30/2015
19000_2019Q1_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,156737,Millions of dollars,03/31/2019
19000_2019Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,156334,Millions of dollars,06/30/2019
19000_2019Q3_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,159373,Millions of dollars,09/30/2019
19000_2020Q1_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,159720,Millions of dollars,03/31/2020
19000_2020Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,175411,Millions of dollars,06/30/2020
19000_2023Q2_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,200112,Millions of dollars,06/30/2023
19000_2023Q4_SQINC4-10_quarter,SQINC4,Personal Income by Major Component,SQINC4-10,Personal income,203021,Millions of dollars,12/31/2023
19000_1999Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,73493,Millions of dollars,09/30/1999
19000_1999Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,75477,Millions of dollars,12/31/1999
19000_2000Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,76010,Millions of dollars,03/31/2000
19000_2003Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,82875,Millions of dollars,03/31/2003
19000_2003Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,84364,Millions of dollars,09/30/2003
19000_2003Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,85853,Millions of dollars,12/31/2003
19000_2004Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,86552,Millions of dollars,03/31/2004
19000_2004Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,89220,Millions of dollars,09/30/2004
19000_2004Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,90709,Millions of dollars,12/31/2004
19000_2005Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,90779,Millions of dollars,03/31/2005
19000_2007Q2_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,104951,Millions of dollars,06/30/2007
19000_2007Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,105261,Millions of dollars,09/30/2007
19000_2011Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,119242,Millions of dollars,09/30/2011
19000_2011Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,120120,Millions of dollars,12/31/2011
19000_2012Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,122546,Millions of dollars,03/31/2012
19000_2012Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,124176,Millions of dollars,09/30/2012
19000_2012Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,126939,Millions of dollars,12/31/2012
19000_2013Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,123907,Millions of dollars,03/31/2013
19000_2016Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,142416,Millions of dollars,12/31/2016
19000_2018Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,148122,Millions of dollars,03/31/2018
19000_2018Q2_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,150104,Millions of dollars,06/30/2018
19000_2018Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,151732,Millions of dollars,09/30/2018
19000_2019Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,154239,Millions of dollars,03/31/2019
19000_2019Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,155747,Millions of dollars,09/30/2019
19000_2019Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,156477,Millions of dollars,12/31/2019
19000_2020Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,158280,Millions of dollars,03/31/2020
19000_2020Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,164201,Millions of dollars,12/31/2020
19000_2021Q2_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,174559,Millions of dollars,06/30/2021
19000_2021Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,174043,Millions of dollars,09/30/2021
19000_2021Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,176760,Millions of dollars,12/31/2021
19000_2022Q1_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,181646,Millions of dollars,03/31/2022
19000_2022Q2_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,183592,Millions of dollars,06/30/2022
19000_2022Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,188176,Millions of dollars,09/30/2022
19000_2022Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,190113,Millions of dollars,12/31/2022
19000_2023Q2_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,193780,Millions of dollars,06/30/2023
19000_2023Q3_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,196128,Millions of dollars,09/30/2023
19000_2023Q4_SQINC4-11_quarter,SQINC4,Personal Income by Major Component,SQINC4-11,Nonfarm personal income,198768,Millions of dollars,12/31/2023
19000_1997Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3812,Millions of dollars,03/31/1997
19000_1997Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2991,Millions of dollars,06/30/1997
19000_1997Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3398,Millions of dollars,09/30/1997
19000_1997Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3322,Millions of dollars,12/31/1997
19000_1998Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1952,Millions of dollars,03/31/1998
19000_1998Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2016,Millions of dollars,06/30/1998
19000_1998Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2106,Millions of dollars,09/30/1998
19000_1998Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2495,Millions of dollars,12/31/1998
19000_1999Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1615,Millions of dollars,03/31/1999
19000_1999Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1607,Millions of dollars,06/30/1999
19000_1999Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1593,Millions of dollars,09/30/1999
19000_1999Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1510,Millions of dollars,12/31/1999
19000_2000Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2287,Millions of dollars,03/31/2000
19000_2000Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2445,Millions of dollars,06/30/2000
19000_2000Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2482,Millions of dollars,09/30/2000
19000_2000Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2560,Millions of dollars,12/31/2000
19000_2001Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2428,Millions of dollars,03/31/2001
19000_2001Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2378,Millions of dollars,06/30/2001
19000_2001Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2245,Millions of dollars,09/30/2001
19000_2001Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1965,Millions of dollars,12/31/2001
19000_2002Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2047,Millions of dollars,03/31/2002
19000_2002Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1706,Millions of dollars,06/30/2002
19000_2002Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2167,Millions of dollars,09/30/2002
19000_2002Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2510,Millions of dollars,12/31/2002
19000_2003Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1880,Millions of dollars,03/31/2003
19000_2003Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2327,Millions of dollars,06/30/2003
19000_2003Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2348,Millions of dollars,09/30/2003
19000_2003Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2332,Millions of dollars,12/31/2003
19000_2004Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,5093,Millions of dollars,03/31/2004
19000_2004Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,4983,Millions of dollars,06/30/2004
19000_2004Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,4284,Millions of dollars,09/30/2004
19000_2004Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,4671,Millions of dollars,12/31/2004
19000_2005Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3760,Millions of dollars,03/31/2005
19000_2005Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,4221,Millions of dollars,06/30/2005
19000_2005Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,4024,Millions of dollars,09/30/2005
19000_2005Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3379,Millions of dollars,12/31/2005
19000_2006Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2921,Millions of dollars,03/31/2006
19000_2006Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2775,Millions of dollars,06/30/2006
19000_2006Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2766,Millions of dollars,09/30/2006
19000_2006Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2838,Millions of dollars,12/31/2006
19000_2007Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3854,Millions of dollars,03/31/2007
19000_2007Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3665,Millions of dollars,06/30/2007
19000_2007Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3607,Millions of dollars,09/30/2007
19000_2007Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,4321,Millions of dollars,12/31/2007
19000_2008Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,5754,Millions of dollars,03/31/2008
19000_2012Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,6619,Millions of dollars,12/31/2012
19000_2013Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,8882,Millions of dollars,03/31/2013
19000_2013Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,9228,Millions of dollars,06/30/2013
19000_2013Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,8613,Millions of dollars,09/30/2013
19000_2013Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,7133,Millions of dollars,12/31/2013
19000_2014Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,5439,Millions of dollars,03/31/2014
19000_2014Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,6735,Millions of dollars,06/30/2014
19000_2014Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,5622,Millions of dollars,09/30/2014
19000_2014Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,5384,Millions of dollars,12/31/2014
19000_2015Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,4641,Millions of dollars,03/31/2015
19000_2015Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,5052,Millions of dollars,06/30/2015
19000_2015Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,5395,Millions of dollars,09/30/2015
19000_2015Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,5114,Millions of dollars,12/31/2015
19000_2016Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3043,Millions of dollars,03/31/2016
19000_2016Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3132,Millions of dollars,06/30/2016
19000_2016Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2796,Millions of dollars,09/30/2016
19000_2016Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2042,Millions of dollars,12/31/2016
19000_2017Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3873,Millions of dollars,03/31/2017
19000_2017Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3778,Millions of dollars,06/30/2017
19000_2017Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3043,Millions of dollars,09/30/2017
19000_2017Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3104,Millions of dollars,12/31/2017
19000_2018Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3872,Millions of dollars,03/31/2018
19000_2018Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3499,Millions of dollars,06/30/2018
19000_2018Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3147,Millions of dollars,09/30/2018
19000_2018Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,5392,Millions of dollars,12/31/2018
19000_2019Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,2499,Millions of dollars,03/31/2019
19000_2019Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1481,Millions of dollars,06/30/2019
19000_2019Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3626,Millions of dollars,09/30/2019
19000_2019Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,3704,Millions of dollars,12/31/2019
19000_2020Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,1440,Millions of dollars,03/31/2020
19000_2022Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,11930,Millions of dollars,09/30/2022
19000_2022Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,10925,Millions of dollars,12/31/2022
19000_2023Q1_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,7351,Millions of dollars,03/31/2023
19000_2023Q2_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,6333,Millions of dollars,06/30/2023
19000_2023Q3_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,6083,Millions of dollars,09/30/2023
19000_2023Q4_SQINC4-12_quarter,SQINC4,Personal Income by Major Component,SQINC4-12,Farm income,4252,Millions of dollars,12/31/2023
19000_1997Q1_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,03/31/1997
19000_1997Q2_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,06/30/1997
19000_1997Q3_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,09/30/1997
19000_1997Q4_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,12/31/1997
19000_1998Q1_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,03/31/1998
19000_1998Q2_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,06/30/1998
19000_1998Q3_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,09/30/1998
19000_1998Q4_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,12/31/1998
19000_1999Q1_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,03/31/1999
19000_1999Q2_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,06/30/1999
19000_1999Q3_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,09/30/1999
19000_1999Q4_SQINC4-30_quarter,SQINC4,Personal Income by Major Component,SQINC4-30,Per capita personal income,0,Dollars,12/31/1999
